Part	Section	Parser ID	Node ID	Question text	Data type	Checkboxes	Dropdown list	Condition	Review hints	Repetition group	Schema ID
A	01 - General Information	a-1-170c53-0	10	Last Name	text	Letter(s) Only					
A	01 - General Information	a-1-161b64-0	13	First Name	text	Letter(s) Only					
A	01 - General Information	a-1-869ee1-0	16	Middle Name	text	Letter(s) Only|No Middle Name					
A	01 - General Information	a-1-dd61d2-0	20	Suffix	dropdown						
A	01 - General Information	a-1-19d9f4-0	21	If you wish to provide, indicate your pronouns. (he/him, she/her, or they/them)	text						
A	01 - General Information	a-1-2743c4-0	26	What is your date of birth?	mm/dd/yyyy	Estimated					
A	01 - General Information	a-1-e9cbd5-0	30	Please explain.	text			for Affirmative Estimated Date of Birth.			
A	01 - General Information	a-1-105c29-0	35	Were you born in the U.S.?	boolean						
A	01 - General Information	a-1-1acac2-0	40	City	text			for Affirmative U.S. Born, Location in the U.S.			
A	01 - General Information	a-1-1f658e-0	42	County Or County Equivalent	text			for Affirmative U.S. Born, Location in the U.S.			
A	01 - General Information	a-1-1df9ac-0	44	State or Territory	dropdown		STATE_OR_TERRITORY	for Affirmative U.S. Born, Location in the U.S.			
A	01 - General Information	a-1-1f460f-0	47	The following information will assist the investigative agency to verify your birth certificate with the pertinent Bureau of Vital Statistics.	text			for Affirmative to U.S. Born, Location in the U.S.	no_secondary_chunks		
A	01 - General Information	a-1-173ed6-0	48	What is your mother’s name at birth? Last Name [Text] First Name [Text] Middle Name [Text]	text			for Affirmative to U.S. Born, Location in the U.S.	no_secondary_chunks, bracket_in_text		
A	01 - General Information	a-1-f519cb-0	49	If your mother used any other names Please provide her name at your time of birth. Last Name [Text] First Name [Text] Middle Name [Text]	text			for Affirmative to U.S. Born, Location in the U.S.	complex_html_parsing, no_secondary_chunks, bracket_in_text		
A	01 - General Information	a-1-bd78df-0	53	City	text			for Not U.S. Born, Location			
A	01 - General Information	a-1-1720f5-0	55	Country	dropdown		COUNTRY	for Not U.S. Born, Location			
A	01 - General Information	a-1-1af752-0	60	What is your U.S. Social Security Number?	number	Not Applicable					
A	01 - General Information	a-1-1138d8-0	64	Please explain.	text			for Not Applicable Selection for Social Security Number			
A	01 - General Information	a-1-ac1877-0	77	Have you ever used a different name?	boolean						
A	01 - General Information	a-1-584cd8-0	82	Last Name	text	Letter(s) Only		for Affirmative Answer on Different Name Used			
A	01 - General Information	a-1-1f4c31-0	85	First Name	text	Letter(s) Only		for Affirmative Answer on Different Name Used			
A	01 - General Information	a-1-15f46d-0	88	Middle Name	text	Letter(s) Only|No Middle Name		for Affirmative Answer on Different Name Used			
A	01 - General Information	a-1-11fe54-0	92	Suffix	dropdown	None		for Affirmative Answer on Different Name Used			
A	01 - General Information	a-1-1268dd-0	96	Please explain.	text			for Affirmative Answer on Different Name Used, Selection of “Other” for Suffix Explanation.			
A	01 - General Information	a-1-4e988c-0	100	From	month	Estimated		for Affirmative Answer on Different Name Used. Dates Used. Another Name Used.			
A	01 - General Information	a-1-1b621b-0	103	To	month	Estimated|Present		for Affirmative Answer on Different Name Used. Dates Used. Another Name Used.			
A	01 - General Information	a-1-1a2d04-0	107	Do you have another name to report?	boolean			for Affirmative Answer on Different Name Used. Dates Used. Another Name Used.			
A	01 - General Information	a-1-1ee9dc-0	113	What is your phone number? (You may list more than one.)	phone_number_and_type	Cell|Home|Work					
A	01 - General Information	a-1-9bda40-0	118	What is your email address? (You may list more than one.)	email_and_type						
A	02 - U.S. Passport	a-2-141a33-0	121	Have you ever had a U.S. passport book?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW				
A	02 - U.S. Passport	a-2-6a06b3-0	126	Please explain.	text			for “I Don’t Know” Answer to Passport Book.			
A	02 - U.S. Passport	a-2-1e0d5c-0	129	What is the passport number on your passport book?	text	Unable to obtain passport.		for Affirmative Answer on Passport Book and Access. Details.	extra_chunks		
A	02 - U.S. Passport	a-2-b619db-0	134	Last Name	text			for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-1f0c93-0	136	First Name	text	Letter(s) Only		for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-11f190-0	139	Middle Name	text	Letter(s) Only|No Middle Name		for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-31f3ab-0	143	Suffix	dropdown			for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-dd1c5c-0	145	What is the issue date on your passport book?	mm/dd/yyyy			for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-74cee8-0	147	What is the expiration date on your passport book?	mm/dd/yyyy			for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-199d84-0	149	Is this your most recently issued passport book?	boolean			for Affirmative Answer on Passport Book and Access. Details.			
A	02 - U.S. Passport	a-2-10d7ca-0	153	Please explain.	text			for Affirmative Answer on Passport Book but No to Access.			
A	02 - U.S. Passport	a-2-128148-0	155	Do you have any other active U.S. passport to report?	boolean			Another Active U.S. Passport to Report	complex_html_parsing		
A	02 - U.S. Passport	a-2-f552de-0	160	Have you ever had a U.S. passport card?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW				
