Part	Section	Parser ID	Node ID	Question text	Data type	Checkboxes	Dropdown list	Condition	Review hints	Repetition group	Schema ID
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-10cad6-0	2	Have you ever had a foreign passport, identity card, or other similar document for international travel?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW				
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-18d074-0	7	What country issued this passport, identity card, or other similar document for international travel?	dropdown			for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-1d1712-0	9	Do you have access to this document?	boolean			for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-1e191e-0	13	What is the issue date of this document?	mm/dd/yyyy	Estimated		for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-150dfb-0	16	What is the expiration date of this document?	mm/dd/yyyy	Estimated		for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-191fdf-0	20	City	text			for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-56975b-0	22	Country	dropdown		COUNTRY	for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-18ce30-0	25	Last Name	text			for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-1b93c2-0	27	First Name	text	Letter(s) Only		for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-f35931-0	30	Middle Name	text	Letter(s) Only|No Middle Name		for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-f86b8c-0	34	Suffix	dropdown			for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-7c5d4a-0	36	What is the document number?	text			for Affirmative Answer on Foreign Passport or Identity Card. Country of Origin.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-16c26a-0	39	Have you ever used this document for international travel?	boolean			for Affirmative Answer on Foreign Passport or Identity Card. Use of Foreign Passport or Identity Card.			
B	04 - Additional Citizenships/Foreign Passports Questions	b-4-723e82-0	43	What country did you travel to?	dropdown			for Affirmative Answer on Use of Foreign Passport or Identity Card. Used for Travel.			
