Part	Section	Parser ID	Node ID	Question text	Data type	Checkboxes	Dropdown list	Condition	Review hints	Repetition group	Schema ID
C	09 - U.S. Military and U.S. Uniformed Service	c-9-1430ba-0	1	Were you sentenced to more than one year of imprisonment?	boolean			for Affirmative Answer to Military Service or U.S. Uniformed Service, Disciplinary Actions\Court Martial and a Charge Outcome of Guilty. Sentence of Confinement. Details.			
C	09 - U.S. Military and U.S. Uniformed Service	c-9-134c34-0	5	From (Month/Year)	month	Estimated		for Affirmative Answer to Military Service or U.S. Uniformed Service, Disciplinary Actions\Court Martial and a Charge Outcome of Guilty. Sentence of Confinement. Details.			
C	09 - U.S. Military and U.S. Uniformed Service	c-9-d7f812-0	8	To (Month/Year)	month	Estimated		for Affirmative Answer to Military Service or U.S. Uniformed Service, Disciplinary Actions\Court Martial and a Charge Outcome of Guilty. Sentence of Confinement. Details.			
C	09 - U.S. Military and U.S. Uniformed Service	c-9-8ebd4b-0	11	Were you granted parole or supervised release?	boolean			for Affirmative Answer to Military Service or U.S. Uniformed Service, Disciplinary Actions\Court Martial and a Charge Outcome of Guilty. Sentence of Confinement. Details.			
C	09 - U.S. Military and U.S. Uniformed Service	c-9-6c39f3-0	16	From (Month/Year)	month	Estimated		for Affirmative Answer to Military Service or U.S. Uniformed Service, Disciplinary Actions\Court Martial and a Charge Outcome of Guilty. Parole After Confinement			
C	09 - U.S. Military and U.S. Uniformed Service	c-9-13836f-0	19	To (Month/Year)	month	Estimated|Present		for Affirmative Answer to Military Service or U.S. Uniformed Service, Disciplinary Actions\Court Martial and a Charge Outcome of Guilty. Parole After Confinement			
C	23 – Financial Record	c-23-19317b-0	24	Have you since paid these taxes in full?	boolean			Affirmative Answer for Failed to Pay Non-Federal Taxes in the Past Five Years. Payment Status.			
C	23 – Financial Record	c-23-f37dbe-0	28	When was the filing date for these taxes?	month			Affirmative Answer for Failed to Pay Non-Federal Taxes in the Past Five Years. Payment Status.			
C	23 – Financial Record	c-23-19bae2-0	30	When did you file these taxes?	month	Estimated		Affirmative Answer for Failed to Pay Non-Federal Taxes in the Past Five Years. Payment Status.			
C	23 – Financial Record	c-23-147ac0-0	34	Did you file these taxes on time? (Answer "Yes" if you had an approved filing extension and filed by the extension due date.)	boolean			Affirmative Answer for Failed to Pay Non-Federal Taxes in the Past Five Years. Payment Status.	complex_html_parsing		
C	25 - Foreign Contacts	c-25-13e744-0	46	Have you had contact with a foreign national in the past five years with whom you:	boolean						
C	25 - Foreign Contacts	c-25-112f4e-0	55	What is the foreign national's name?	text			for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Name of Foreign National.	no_secondary_chunks		
C	25 - Foreign Contacts	c-25-5dece1-0	56	Last Name	text	Letter(s) Only|I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Name of Foreign National.			
C	25 - Foreign Contacts	c-25-ebe409-0	60	First Name	text	Letter(s) Only|I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Name of Foreign National.			
C	25 - Foreign Contacts	c-25-13019e-0	64	Middle Name	text	Letter(s) Only|No Middle Name|I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Name of Foreign National.			
C	25 - Foreign Contacts	c-25-1b98b7-0	69	Suffix	text			for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Name of Foreign National.			
C	25 - Foreign Contacts	c-25-b62fcd-0	71	Has this foreign national ever used another name (for example, aliases, nicknames, or a maiden name)?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW	for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Name of Foreign National.			
C	25 - Foreign Contacts	c-25-194561-0	76	What other name have they used?	checkboxes	I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate if the Foreign National Has Used Other Names.			
C	25 - Foreign Contacts	c-25-a2018a-0	78	Last Name	text	Letter(s) Only|I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate if the Foreign National Has Used Other Names.			
C	25 - Foreign Contacts	c-25-183104-0	82	First Name	text	Letter(s) Only|I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate if the Foreign National Has Used Other Names.			
C	25 - Foreign Contacts	c-25-a3fd19-0	86	Middle Name	text	Letter(s) Only|No Middle Name|I Don't Know		for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate if the Foreign National Has Used Other Names.			
C	25 - Foreign Contacts	c-25-69ec2a-0	91	Suffix	dropdown			for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate if the Foreign National Has Used Other Names.			
C	25 - Foreign Contacts	c-25-154117-0	93	Which of the following best describes this name?	dropdown			for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate if the Foreign National Has Used Other Names.			
C	25 - Foreign Contacts	c-25-3c20ad-0	96	Please explain.	text			for Affirmative Answer on Contact with Foreign Nationals in Past Five years Who Meets One or More of Conditions Listed. Branch Auto Populate for Explanation if Selection of “Other” for Description of Name in Dropdown Menu.			
C	25 - Foreign Contacts	c-25-1f30c2-0	99	Is there another name this foreign national uses or used (for example, aliases, nicknames, or a maiden name)?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW	for Affirmative Answer on Contact with Foreign National in Past Five Years Who Meets One or More of Conditions Listed. Asking for Other Names Used by Foreign National.			
C	25 - Foreign Contacts	c-25-1301a5-0	104	Provide country(ies) of citizenship for this foreign national (Select all that apply.)	dropdown			for Affirmative Answer on Contact with Foreign National in the past five years Who Meets One or More of Conditions Listed. Citizenship Information.			
C	25 - Foreign Contacts	c-25-ade2b8-0	107	What is their date of birth?	month	Estimated|I Don't Know		for Affirmative Answer on Contact with Foreign National in the past five years Who Meets One or More of Conditions Listed. Date of Birth and Place of Birth Details.			
C	25 - Foreign Contacts	c-25-147280-0	111	Where were they born?	checkboxes	I Don't Know		for Affirmative Answer on Contact with Foreign National in the past five years Who Meets One or More of Conditions Listed. Date of Birth and Place of Birth Details.			
C	25 - Foreign Contacts	c-25-116fca-0	113	City	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the past five years Who Meets One or More of Conditions Listed. Date of Birth and Place of Birth Details.			
C	25 - Foreign Contacts	c-25-145c33-0	116	Country	dropdown		COUNTRY	for Affirmative Answer on Contact with Foreign National in the past five years Who Meets One or More of Conditions Listed. Date of Birth and Place of Birth Details.			
C	25 - Foreign Contacts	c-25-6da105-0	119	How did this person become a citizen of a foreign country? (For example, they applied for it or they acquired it through their parents or grandparents.)	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. And is a U.S. Born Foreign Citizen. Foreign Citizenship details.			
C	25 - Foreign Contacts	c-25-129471-0	123	Does this foreign national currently live in the U.S.?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW	for Affirmative Answer on Contact with Foreign Nationals in the Past Five Years Who Meets One or More of Conditions Listed. Residence Location.			
C	25 - Foreign Contacts	c-25-10e257-0	128	What is their address?	checkboxes	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S.			
C	25 - Foreign Contacts	c-25-8d3a83-0	130	Street (include Apt #, Unit #, or Suite #, if applicable)	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S.			
C	25 - Foreign Contacts	c-25-1b159f-0	133	City	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S.			
C	25 - Foreign Contacts	c-25-1ca5f4-0	136	State or Territory	dropdown	I Don't Know	STATE_OR_TERRITORY	for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S.			
C	25 - Foreign Contacts	c-25-daa835-0	139	ZIP Code	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S.			
C	25 - Foreign Contacts	c-25-ccade1-0	142	Is this a U.S. military installation?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW	for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S.			
C	25 - Foreign Contacts	c-25-b7e5d6-0	147	What is the name of the U.S. military installation?	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Resides in the U.S. in a Military Installation			
C	25 - Foreign Contacts	c-25-168d77-0	151	Where do they live?	checkboxes	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Does Not Reside in the U.S.			
C	25 - Foreign Contacts	c-25-7b4e00-0	154	City	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Does Not Reside in the U.S.			
C	25 - Foreign Contacts	c-25-1522e7-0	157	Country	dropdown	I Don't Know	COUNTRY	for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Does Not Reside in the U.S.			
C	25 - Foreign Contacts	c-25-ad328d-0	160	Is this a U.S. military installation or U.S. diplomatic facility?	dropdown	Yes|No|I Don't Know	YES_NO_DONTKNOW	for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Does Not Reside in the U.S.			
C	25 - Foreign Contacts	c-25-132576-0	165	What is the name of the U.S. military installation or U.S. diplomatic facility?	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Does Not Reside in the U.S. and Resides in a U.S. Military Installation or U.S. Diplomatic Facility.			
C	25 - Foreign Contacts	c-25-1ff7b8-0	168	What is the APO/FPO/DPO ZIP Code for the U.S. military installation or U.S. diplomatic facility?	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Does Not Reside in the U.S. and Resides in a U.S. Military Installation or U.S. Diplomatic Facility.			
C	25 - Foreign Contacts	c-25-105936-0	172	What is your relationship with this person?	dropdown			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Type of Relationship with Foreign National.			
C	25 - Foreign Contacts	c-25-1e679f-0	175	Please explain.	text			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Explanation for Selection of “Other” for Relationship Description in Dropdown Menu.			
C	25 - Foreign Contacts	c-25-1b3eb7-0	178	When was your first contact with this foreign national?	month	Estimated		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Additional Question on Span and Method of Contact.			
C	25 - Foreign Contacts	c-25-6deb68-0	181	When was your last contact with this foreign national?	month	Estimated		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Additional Question on Span and Method of Contact.			
C	25 - Foreign Contacts	c-25-37cb00-0	184	What methods do you and this foreign national use to contact one another? (Select all that apply.)	dropdown			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Additional Question on Span and Method of Contact.			
C	25 - Foreign Contacts	c-25-291c1d-0	185	What is the foreign national’s email address?	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Additional Question on Span and Method of Contact.			
C	25 - Foreign Contacts	c-25-131260-0	186	What is the foreign national’s phone number?	test	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Additional Question on Span and Method of Contact.	extra_chunks		
C	25 - Foreign Contacts	c-25-10bd26-0	194	Please explain.	text			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. If Selection for Method of Contact in Dropdown Menu is “Other.”			
C	25 - Foreign Contacts	c-25-14a6a9-0	197	How often are you in contact with this foreign national?	dropdown			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Frequency of Contact.			
C	25 - Foreign Contacts	c-25-17c1b8-0	200	Please explain.	text			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. If Selection for Frequency of Contact in Dropdown Menu is “Other.”			
C	25 - Foreign Contacts	c-25-71c33a-0	203	Who does this foreign national work for? (If they are unemployed, provide the name of their most recent employer.)	text	Never Worked|I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Foreign National Employer Information.			
C	25 - Foreign Contacts	c-25-1866a4-0	207	If known, what is this foreign national’s occupation?	text	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Foreign National Employer Information.			
C	25 - Foreign Contacts	c-25-1bae5c-0	210	Is this employer located in the U.S.?	checkboxes	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Foreign National Employer Information.			
C	25 - Foreign Contacts	c-25-1789ee-0	213	What is the employer's address?	checkboxes	I Don't Know		for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Employer Information Located in the U.S.			
C	25 - Foreign Contacts	c-25-498b0b-0	215	Street (include Apt #, Unit #, or Suite #, if applicable)	text			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Employer Information Located in the U.S.			
C	25 - Foreign Contacts	c-25-126614-0	217	City	text			for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Employer Information Located in the U.S.			
C	25 - Foreign Contacts	c-25-630c3a-0	219	State or Territory	dropdown		STATE_OR_TERRITORY	for Affirmative Answer on Contact with Foreign National in the Past Five Years Who Meets One or More of Conditions Listed. Employer Information Located in the U.S.			
