Part,Section,Parser ID,Node ID,Question text,Data type,Checkboxes,Dropdown list,Condition,Review hints,Repetition group,Property name,Notes
A,01 - General Information,a-1-170c53-0,10,Last Name,text,Letter(s) Only,,,,,lastName,
A,01 - General Information,a-1-161b64-0,13,First Name,text,Letter(s) Only,,,,,firstName,
A,01 - General Information,a-1-869ee1-0,16,Middle Name,text,Letter(s) Only|No Middle Name,,,,,middleName,
A,01 - General Information,a-1-dd61d2-0,20,Suffix,dropdown,,SUFFIX,,,,suffix,
A,01 - General Information,a-1-19d9f4-0,21,"If you wish to provide, indicate your pronouns. (he/him, she/her, or they/them)",text,,,,,,pronouns,
A,01 - General Information,a-1-2743c4-0,26,What is your date of birth?,mm/dd/yyyy,Estimated,,,,,dateOfBirth,
A,01 - General Information,a-1-e9cbd5-0,30,Please explain.,text,,,for Affirmative Estimated Date of Birth.,,,dateOfBirthExplanation,
A,01 - General Information,a-1-105c29-0,35,Were you born in the U.S.?,boolean,,,,,,wasBornInUs,
A,01 - General Information,a-1-1acac2-0,40,City,text,,,"for Affirmative U.S. Born, Location in the U.S.",,,usBirthCity,
A,01 - General Information,a-1-1f658e-0,42,County Or County Equivalent,text,,,"for Affirmative U.S. Born, Location in the U.S.",,,usBirthCounty,
A,01 - General Information,a-1-1df9ac-0,44,State or Territory,dropdown,,STATE_OR_TERRITORY,"for Affirmative U.S. Born, Location in the U.S.",,,usBirthState,
,01 - General Information,,,Last Name,Text,,,"for Affirmative to U.S. Born, Location in the U.S.",,,mothersLastNameAtBirth,
,01 - General Information,,,First Name,Text,,,"for Affirmative to U.S. Born, Location in the U.S.",,,mothersFirstNameAtBirth,
,01 - General Information,,,Middle Name,Text,,,"for Affirmative to U.S. Born, Location in the U.S.",,,mothersMiddleNameAtBirth,
,01 - General Information,,,Last Name,Text,,,"for Affirmative to U.S. Born, Location in the U.S.",,,motherOtherLastName,
,01 - General Information,,,First Name,Text,,,"for Affirmative to U.S. Born, Location in the U.S.",,,motherOtherFirstName,
,01 - General Information,,,Middle Name,Text,,,"for Affirmative to U.S. Born, Location in the U.S.",,,motherOtherMiddleName,
A,01 - General Information,a-1-bd78df-0,53,City,text,,,"for Not U.S. Born, Location",,,nonusBirthCity,
A,01 - General Information,a-1-1720f5-0,55,Country,dropdown,,COUNTRY,"for Not U.S. Born, Location",,,nonUsBirthCountry,
A,01 - General Information,a-1-1af752-0,60,What is your U.S. Social Security Number?,text,Not Applicable,,,,,ssn,
A,01 - General Information,a-1-1138d8-0,64,Please explain.,text,,,for Not Applicable Selection for Social Security Number,,,ssnNotApplicableExplanation,
A,01 - General Information,a-1-ac1877-0,77,Have you ever used a different name?,boolean,,,,,,IGNORE,
A,01 - General Information,a-1-584cd8-0,82,Last Name,text,Letter(s) Only,,for Affirmative Answer on Different Name Used,,otherNames,lastName,
A,01 - General Information,a-1-1f4c31-0,85,First Name,text,Letter(s) Only,,for Affirmative Answer on Different Name Used,,otherNames,firstName,
A,01 - General Information,a-1-15f46d-0,88,Middle Name,text,Letter(s) Only|No Middle Name,,for Affirmative Answer on Different Name Used,,otherNames,middleName,
A,01 - General Information,a-1-11fe54-0,92,Suffix,dropdown,None,SUFFIX,for Affirmative Answer on Different Name Used,,otherNames,suffix,
A,01 - General Information,a-1-1268dd-0,96,Please explain.,text,,,"for Affirmative Answer on Different Name Used, Selection of “Other” for Suffix Explanation.",,otherNames,suffixOtherExplanation,
A,01 - General Information,a-1-4e988c-0,100,From,month,Estimated,,for Affirmative Answer on Different Name Used. Dates Used. Another Name Used.,,otherNames,startDate,
A,01 - General Information,a-1-1b621b-0,103,To,month,Estimated|Present,,for Affirmative Answer on Different Name Used. Dates Used. Another Name Used.,,otherNames,endDate,
A,01 - General Information,a-1-1a2d04-0,107,Do you have another name to report?,boolean,,,for Affirmative Answer on Different Name Used. Dates Used. Another Name Used.,,,IGNORE,
A,01 - General Information,a-1-1ee9dc-0,113,What is your phone number? (You may list more than one.),phone_number_and_type,Cell|Home|Work,,,,phoneNumbers,phoneNumber,
A,01 - General Information,a-1-9bda40-0,118,What is your email address? (You may list more than one.),email_and_type,,,,,emailAddresses,emailAddresses,
A,02 - U.S. Passport,a-2-141a33-0,121,Have you ever had a U.S. passport book?,dropdown,Yes|No|I Don't Know,YES_NO_DONTKNOW,,,,haveHadPassportBook,
A,02 - U.S. Passport,a-2-6a06b3-0,126,Please explain.,text,,,for “I Don’t Know” Answer to Passport Book.,,,haveHadPassportBookDontKnowExplanation,
A,02 - U.S. Passport,a-2-1e0d5c-0,129,What is the passport number on your passport book?,text,Unable to obtain passport.,,for Affirmative Answer on Passport Book and Access. Details.,extra_chunks,,passportBookNumber,
A,02 - U.S. Passport,a-2-b619db-0,134,Last Name,text,,,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,lastName,
A,02 - U.S. Passport,a-2-1f0c93-0,136,First Name,text,Letter(s) Only,,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,firstName,
A,02 - U.S. Passport,a-2-11f190-0,139,Middle Name,text,Letter(s) Only|No Middle Name,,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,middleName,
A,02 - U.S. Passport,a-2-31f3ab-0,143,Suffix,dropdown,,SUFFIX,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,suffix,
A,02 - U.S. Passport,a-2-dd1c5c-0,145,What is the issue date on your passport book?,mm/dd/yyyy,,,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,issueDate,
A,02 - U.S. Passport,a-2-74cee8-0,147,What is the expiration date on your passport book?,mm/dd/yyyy,,,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,expirationDate,
A,02 - U.S. Passport,a-2-199d84-0,149,Is this your most recently issued passport book?,boolean,,,for Affirmative Answer on Passport Book and Access. Details.,,passportBooks,isMostRecent,
A,02 - U.S. Passport,a-2-10d7ca-0,153,Please explain.,text,,,for Affirmative Answer on Passport Book but No to Access.,,passportBooks,noAccessExplanation,
A,02 - U.S. Passport,a-2-128148-0,155,Do you have any other active U.S. passport to report?,boolean,,,Another Active U.S. Passport to Report,complex_html_parsing,,IGNORE,
A,02 - U.S. Passport,a-2-f552de-0,160,Have you ever had a U.S. passport card?,dropdown,Yes|No|I Don't Know,YES_NO_DONTKNOW,,,,haveHadPassportCard,
A,02 - U.S. Passport,a-2-944cc4-0,165,Please explain.,text,,,for I Don’t Know Answer to Passport Card.,,,haveHadPassportCardDontKnowExplanation,
A,02 - U.S. Passport,a-2-128f37-0,168,What is the passport number on your passport card?,text,Unable to obtain passport card.,,for Affirmative Answer on Passport Card and Access.,extra_chunks,,passportCardNumber,
A,02 - U.S. Passport,a-2-19c60c-0,173,Last Name,text,,,for Affirmative Answer on Passport Card and Access.,,,passportCardLastName,
A,02 - U.S. Passport,a-2-c86c21-0,175,First Name,text,Letter(s) Only,,for Affirmative Answer on Passport Card and Access.,,,passportCardFirstName,
A,02 - U.S. Passport,a-2-402784-0,178,Middle Name,text,Letter(s) Only|No Middle Name,,for Affirmative Answer on Passport Card and Access.,,,passportCardMiddleName,
A,02 - U.S. Passport,a-2-17980d-0,182,Suffix,dropdown,,SUFFIX,for Affirmative Answer on Passport Card and Access.,,,passportCardSuffix,
A,02 - U.S. Passport,a-2-1dafa0-0,184,What is the issue date on your passport card?,mm/dd/yyyy,,,for Affirmative Answer on Passport Card and Access.,,,passportCardIssueDate,
A,02 - U.S. Passport,a-2-15850f-0,186,What is the expiration date on your passport card?,mm/dd/yyyy,,,for Affirmative Answer on Passport Card and Access.,,,passportCardExpirationDate,
A,02 - U.S. Passport,a-2-1d2831-0,188,Is this your most recently issued passport card?,boolean,,,for Affirmative Answer on Passport Card and Access.,,,passportCardIsMostRecent,
A,02 - U.S. Passport,a-2-f1f516-0,192,Please explain.,text,,,for Affirmative Answer on Passport Book but no Access to it. Explanation,,,passportBookNoAccessExplanation,
A,03 - U.S. Citizenship,a-3-65499d-0,196,What is your citizenship status?,dropdown,,CITIZENSHIP_STATUS,,,,citizenshipStatus,
A,03 - U.S. Citizenship,a-3-1c4e49-0,199,What document do you have proving you are a U.S. citizen born abroad?,dropdown,,US_CIT_BORNABROAD_DOC,for U.S. Citizen Born Abroad,,,usCitizenBornAbroadDocumentType,
A,03 - U.S. Citizenship,a-3-7f84ef-0,202,What is the title of the form?,text,,,Explanation for “Other” Form for U.S. Citizen Born Abroad Selection in Dropdown Menu. Title of Form.,,,usCitizenBornAboardOtherDocumentTitle,
A,03 - U.S. Citizenship,a-3-177141-0,205,What is the serial number on your document? (This is typically the number in the top right hand corner of your document (it is often in red ink).),text,Not Applicable (Text),,for U.S. Citizen Born Abroad Additional Document Questions.,,,usCitizenBornAbroadDocumentSerialNumber,
A,03 - U.S. Citizenship,a-3-97bed8-0,208,What is the issue date of your document?,mm/dd/yyyy,Estimated,,for U.S. Citizen Born Abroad Additional Document Questions.,,,usCitizenBornAbroadDocumentIssueDate,
A,03 - U.S. Citizenship,a-3-248994-0,211,Was your document issued in the U.S.?,boolean,,,for U.S. Citizen Born Abroad Additional Document Questions.,,,usCitizenBornAbroadDocumentIssuedInus,
A,03 - U.S. Citizenship,a-3-1c054b-0,216,City,text,,,"for U.S. Citizen Born Abroad, Document Issued Outside of U.S.",,,usCitizenBornAbroadDocumentCity,
A,03 - U.S. Citizenship,a-3-56fbb8-0,218,Country,text,,,"for U.S. Citizen Born Abroad, Document Issued Outside of U.S.",,,usCitizenBornAbroadDocumentCountry,
A,03 - U.S. Citizenship,a-3-9ea8f6-0,222,Last Name,text,Letter(s) Only,,for U.S. Citizen Born Abroad Biographical Data on Document.,,,usCitizenBornAbroadDocumentLastName,
A,03 - U.S. Citizenship,a-3-1d55f0-0,225,First Name,text,Letter(s) Only,,for U.S. Citizen Born Abroad Biographical Data on Document.,,,usCitizenBornAbroadDocumentFirstName,
